608651	=>	50|50|50|50
608651	=>	51|50|50|49
608748	=>	51|51|50|48
608750	=>	51|51|49|49
608753	=>	52|50|49|49
608845	=>	52|50|50|48
608852	=>	52|51|49|48
608932	=>	51|51|51|47
608941	=>	52|51|50|47
608954	=>	53|49|49|49
608954	=>	53|50|49|48
609045	=>	53|50|50|47
609045	=>	52|52|49|47
609053	=>	52|52|48|48
609058	=>	53|51|48|48
609122	=>	52|51|51|46
609140	=>	53|51|49|47
609160	=>	54|49|49|48
609215	=>	52|52|50|46
609226	=>	53|51|50|46
609251	=>	54|50|49|47
609255	=>	53|52|48|47
609257	=>	54|50|48|48
609332	=>	53|52|49|46
609357	=>	54|51|48|47
609391	=>	52|52|51|45
609423	=>	54|50|50|46
609436	=>	54|51|49|46
609466	=>	55|49|48|48
609482	=>	53|51|51|45
609497	=>	53|52|50|45
609542	=>	53|53|48|46
609552	=>	55|49|49|47
609560	=>	53|53|47|47
609563	=>	55|50|48|47
609567	=>	54|52|47|47
609601	=>	54|51|50|45
609635	=>	54|52|48|46
609642	=>	55|50|49|46
609694	=>	53|53|49|45
609707	=>	54|52|49|45
609729	=>	52|52|52|44
609746	=>	53|52|51|44
609748	=>	55|51|48|46
609764	=>	55|51|47|47
609811	=>	55|50|50|45
609852	=>	54|51|51|44
609852	=>	53|53|50|44
609860	=>	54|53|47|46
609869	=>	56|48|48|48
609869	=>	56|49|48|47
609902	=>	55|51|49|45
609921	=>	54|53|48|45
609941	=>	54|52|50|44
609954	=>	56|49|49|46
609962	=>	55|52|47|46
609975	=>	56|50|47|47
610025	=>	55|52|48|45
610047	=>	56|50|48|46
610062	=>	55|51|50|44
610066	=>	54|53|49|44
610077	=>	53|52|52|43
610123	=>	56|50|49|45
610164	=>	53|53|51|43
610168	=>	56|51|47|46
610170	=>	55|52|49|44
610183	=>	54|52|51|43
610231	=>	56|51|48|45
610239	=>	54|54|47|45
610271	=>	54|54|46|46
610280	=>	55|53|46|46
610281	=>	57|48|48|47
610291	=>	54|53|50|43
610330	=>	55|53|47|45
610361	=>	56|50|50|44
610366	=>	57|49|48|46
610369	=>	54|54|48|44
610376	=>	57|49|47|47
610376	=>	55|51|51|43
610380	=>	56|51|49|44
610384	=>	55|53|48|44
610397	=>	55|52|50|43
610445	=>	56|52|47|45
610474	=>	57|50|47|46
610475	=>	56|52|46|46
610486	=>	53|53|52|42
610505	=>	54|54|49|43
610526	=>	57|49|49|45
610543	=>	57|50|48|45
610571	=>	54|52|52|42
610577	=>	56|52|48|44
610592	=>	55|53|49|43
610594	=>	54|53|51|42
610607	=>	56|51|50|43
610667	=>	55|54|46|45
610688	=>	57|51|46|46
610692	=>	57|50|49|44
610700	=>	55|52|51|42
610708	=>	55|54|47|44
610715	=>	56|52|49|43
610742	=>	57|51|47|45
610769	=>	56|53|46|45
610787	=>	54|54|50|42
610791	=>	58|48|47|47
610800	=>	57|51|48|44
610808	=>	55|53|50|42
610812	=>	56|53|47|44
610829	=>	55|54|48|43
610871	=>	58|48|48|46
610886	=>	58|49|47|46
610914	=>	56|51|51|42
610925	=>	57|50|50|43
610933	=>	56|53|48|43
610946	=>	53|53|53|41
610955	=>	58|49|48|45
610971	=>	54|53|52|41
610975	=>	57|52|46|45
610999	=>	56|52|50|42
611012	=>	57|51|49|43
611018	=>	57|52|47|44
611026	=>	55|54|49|42
611063	=>	58|50|47|45
611079	=>	55|52|52|41
611079	=>	54|54|51|41
611087	=>	58|50|46|46
611112	=>	58|49|49|44
611132	=>	56|53|49|42
611136	=>	55|55|46|44
611143	=>	57|52|48|43
611162	=>	55|53|51|41
611186	=>	55|55|45|45
611197	=>	56|54|45|45
611201	=>	58|50|48|44
